"long","lat","disturb","rainann","soildepth","soilfert","tempann","topo","easting","northing","plot","Species","pres.abs","id"
152.5685,-28.3287,3,1114,1090,2,165,1,-131165.031780086,6849529.40356979,1,"Angophora.costata",0,1
152.5685,-28.3287,3,1114,1090,2,165,1,-131165.031780086,6849529.40356979,1,"Corymbia.gummifera",0,2
152.5685,-28.3287,3,1114,1090,2,165,1,-131165.031780086,6849529.40356979,1,"Corymbia.intermedia",0,3
152.5685,-28.3287,3,1114,1090,2,165,1,-131165.031780086,6849529.40356979,1,"Eucalyptus.blakelyi",0,4
152.5685,-28.3287,3,1114,1090,2,165,1,-131165.031780086,6849529.40356979,1,"Eucalyptus.carnea",0,5
152.5685,-28.3287,3,1114,1090,2,165,1,-131165.031780086,6849529.40356979,1,"Eucalyptus.fastigata",0,6
152.5685,-28.3287,3,1114,1090,2,165,1,-131165.031780086,6849529.40356979,1,"Eucalyptus.campanulata",0,7
152.5685,-28.3287,3,1114,1090,2,165,1,-131165.031780086,6849529.40356979,1,"Eucalyptus.nova-anglica",0,8
152.5348,-28.3313,3,1096,1039,2,162,3,-134464.428676755,6849062.56158406,2,"Angophora.costata",0,9
152.5348,-28.3313,3,1096,1039,2,162,3,-134464.428676755,6849062.56158406,2,"Corymbia.gummifera",0,10
152.5348,-28.3313,3,1096,1039,2,162,3,-134464.428676755,6849062.56158406,2,"Corymbia.intermedia",0,11
152.5348,-28.3313,3,1096,1039,2,162,3,-134464.428676755,6849062.56158406,2,"Eucalyptus.blakelyi",0,12
152.5348,-28.3313,3,1096,1039,2,162,3,-134464.428676755,6849062.56158406,2,"Eucalyptus.carnea",0,13
152.5348,-28.3313,3,1096,1039,2,162,3,-134464.428676755,6849062.56158406,2,"Eucalyptus.fastigata",0,14
152.5348,-28.3313,3,1096,1039,2,162,3,-134464.428676755,6849062.56158406,2,"Eucalyptus.campanulata",0,15
152.5348,-28.3313,3,1096,1039,2,162,3,-134464.428676755,6849062.56158406,2,"Eucalyptus.nova-anglica",0,16
152.672,-28.3317,3,1200,949,2,166,3,-120967.33099365,6849736.09767711,3,"Angophora.costata",1,17
152.672,-28.3317,3,1200,949,2,166,3,-120967.33099365,6849736.09767711,3,"Corymbia.gummifera",0,18
152.672,-28.3317,3,1200,949,2,166,3,-120967.33099365,6849736.09767711,3,"Corymbia.intermedia",0,19
152.672,-28.3317,3,1200,949,2,166,3,-120967.33099365,6849736.09767711,3,"Eucalyptus.blakelyi",0,20
152.672,-28.3317,3,1200,949,2,166,3,-120967.33099365,6849736.09767711,3,"Eucalyptus.carnea",0,21
152.672,-28.3317,3,1200,949,2,166,3,-120967.33099365,6849736.09767711,3,"Eucalyptus.fastigata",1,22
152.672,-28.3317,3,1200,949,2,166,3,-120967.33099365,6849736.09767711,3,"Eucalyptus.campanulata",1,23
152.672,-28.3317,3,1200,949,2,166,3,-120967.33099365,6849736.09767711,3,"Eucalyptus.nova-anglica",0,24
152.5878,-28.3333,3,1134,1059,2,165,4,-129239.344561236,6849119.44688444,4,"Angophora.costata",0,25
